"Date","Price","Open","High","Low","Change %"
"Jul 07, 2021","158.300","158.275","159.440","157.850","0.16%"
"Jul 06, 2021","158.050","158.150","159.175","157.775","0.23%"
"Jul 05, 2021","157.680","157.850","158.320","157.500","0.11%"
"Jul 02, 2021","157.500","157.575","157.940","157.270","-0.19%"
"Jul 01, 2021","157.800","158.055","158.495","157.785","0.17%"
"Jun 30, 2021","157.530","157.500","158.350","156.800","-0.36%"
"Jun 29, 2021","158.100","157.875","159.125","157.275","0.22%"
"Jun 28, 2021","157.750","157.300","158.450","157.275","0.19%"
"Jun 26, 2021","157.450","157.600","157.600","157.600","-0.10%"
"Jun 25, 2021","157.600","157.800","158.450","157.125","0.00%"
"Jun 24, 2021","157.600","157.900","158.450","157.075","-0.13%"
"Jun 23, 2021","157.800","157.875","158.725","157.585","0.03%"
"Jun 22, 2021","157.750","157.500","158.350","157.125","0.48%"
"Jun 21, 2021","157.000","157.250","157.895","156.550","0.32%"
"Jun 18, 2021","156.500","157.325","157.480","155.950","-0.10%"
"Jun 17, 2021","156.650","157.250","157.515","155.950","0.10%"
"Jun 16, 2021","156.500","157.125","157.515","156.275","0.16%"
"Jun 15, 2021","156.250","155.875","157.315","155.760","0.32%"
"Jun 14, 2021","155.750","155.875","156.225","155.575","0.00%"
"Jun 11, 2021","155.750","155.750","156.080","155.070","0.16%"
"Jun 10, 2021","155.500","155.575","155.875","155.350","0.10%"
"Jun 09, 2021","155.350","155.500","156.150","155.150","0.10%"
"Jun 08, 2021","155.190","155.250","156.010","154.700","0.45%"
"Jun 07, 2021","154.500","155.150","155.725","154.375","0.13%"
"Jun 04, 2021","154.300","155.125","155.410","154.250","0.03%"
"Jun 03, 2021","154.250","155.125","155.390","154.300","0.00%"
"Jun 02, 2021","154.250","155.125","155.275","154.175","0.00%"
"Jun 01, 2021","154.250","154.150","155.225","153.975","1.13%"
"May 31, 2021","152.520","154.500","154.500","153.375","-1.15%"
"May 28, 2021","154.300","155.250","155.500","154.000","-0.13%"
"May 27, 2021","154.500","155.250","155.590","154.300","0.00%"
"May 26, 2021","154.500","154.200","155.340","153.915","0.23%"
"May 25, 2021","154.150","153.975","155.125","152.700","0.84%"
"May 24, 2021","152.870","153.425","154.245","152.965","0.10%"
"May 21, 2021","152.720","153.500","153.580","153.060","-0.18%"
"May 20, 2021","153.000","153.200","153.665","152.700","0.10%"
"May 19, 2021","152.850","152.925","153.300","152.700","0.36%"
"May 18, 2021","152.300","152.675","152.940","152.575","0.07%"
"May 17, 2021","152.200","152.375","152.920","152.115","0.00%"
"May 15, 2021","152.200","152.375","152.375","152.375","0.33%"
"May 14, 2021","151.700","152.225","152.480","151.750","-0.13%"
"May 13, 2021","151.900","151.935","152.405","151.780","0.56%"
"May 12, 2021","151.050","152.000","152.015","151.900","-0.20%"
"May 11, 2021","151.350","152.275","154.050","151.925","-0.16%"
"May 10, 2021","151.600","152.315","154.050","151.960","-0.21%"
"May 07, 2021","151.920","152.700","154.050","151.525","-0.35%"
"May 06, 2021","152.450","153.075","154.050","152.050","0.00%"
"May 05, 2021","152.450","153.250","154.050","152.375","-0.42%"
"May 04, 2021","153.100","153.000","154.050","152.595","0.16%"
"May 03, 2021","152.850","153.250","154.050","152.675","-0.08%"
"Apr 30, 2021","152.980","153.450","154.050","153.055","-0.01%"
"Apr 29, 2021","153.000","154.225","154.225","153.125","-0.62%"
"Apr 28, 2021","153.950","154.475","155.190","152.900","-0.03%"
"Apr 27, 2021","154.000","153.925","155.190","153.900","0.10%"
"Apr 26, 2021","153.850","153.625","154.175","153.075","0.10%"
"Apr 24, 2021","153.700","153.875","153.875","153.875","0.29%"
"Apr 23, 2021","153.250","153.600","154.000","152.925","0.03%"
"Apr 22, 2021","153.200","153.250","153.690","152.750","0.46%"
"Apr 21, 2021","152.500","153.300","153.565","152.580","-0.07%"
"Apr 20, 2021","152.600","153.300","153.415","152.575","0.00%"
"Apr 19, 2021","152.600","153.250","153.415","152.550","0.07%"
"Apr 16, 2021","152.500","152.975","153.415","151.950","-0.03%"
"Apr 15, 2021","152.550","152.975","152.975","152.450","-0.03%"
"Apr 14, 2021","152.600","152.850","152.875","152.825","0.03%"
"Apr 13, 2021","152.550","152.725","153.125","152.000","-0.03%"
"Apr 12, 2021","152.600","152.775","153.200","151.945","0.27%"
"Apr 09, 2021","152.190","152.975","153.045","151.950","0.09%"
"Apr 08, 2021","152.060","153.075","153.225","152.400","-0.15%"
"Apr 07, 2021","152.290","153.175","153.315","152.330","-0.26%"
"Apr 06, 2021","152.690","153.575","153.575","152.725","0.39%"
"Apr 05, 2021","152.090","153.100","153.840","152.645","-0.56%"
"Apr 02, 2021","152.940","152.710","153.740","152.405","0.80%"
"Apr 01, 2021","151.720","152.825","153.200","151.975","-0.39%"
"Mar 31, 2021","152.320","153.150","153.250","151.200","-0.28%"
"Mar 30, 2021","152.750","154.025","154.250","152.690","-0.81%"
"Mar 29, 2021","154.000","154.300","155.100","153.715","-0.55%"
"Mar 26, 2021","154.850","154.600","155.140","154.150","0.37%"
"Mar 25, 2021","154.280","155.100","156.075","154.565","-0.94%"
"Mar 24, 2021","155.750","156.100","156.125","154.860","0.40%"
"Mar 23, 2021","155.130","155.910","156.150","155.585","-0.37%"
"Mar 22, 2021","155.700","155.875","156.225","155.185","0.03%"
"Mar 19, 2021","155.650","155.125","156.645","155.050","0.79%"
"Mar 18, 2021","154.430","155.975","156.140","154.830","-0.85%"
"Mar 17, 2021","155.750","156.750","156.760","155.225","-0.43%"
"Mar 16, 2021","156.420","157.005","157.125","156.165","-0.19%"
"Mar 15, 2021","156.710","156.850","157.275","156.535","-0.06%"
"Mar 12, 2021","156.800","156.700","157.360","156.640","-0.03%"
"Mar 11, 2021","156.850","156.770","157.325","156.665","0.13%"
"Mar 10, 2021","156.650","157.000","157.260","156.685","0.12%"
"Mar 09, 2021","156.460","157.175","157.300","156.630","-0.05%"
"Mar 08, 2021","156.540","156.780","157.480","156.715","0.10%"
"Mar 05, 2021","156.380","157.425","157.555","156.640","-0.39%"
"Mar 04, 2021","157.000","157.250","157.450","156.975","0.00%"
"Mar 03, 2021","157.000","157.750","157.950","156.815","-0.41%"
"Mar 02, 2021","157.650","158.100","159.275","157.285","-0.50%"
"Mar 01, 2021","158.450","158.075","159.275","157.545","0.06%"
"Feb 27, 2021","158.350","158.450","158.450","158.450","-0.06%"
"Feb 26, 2021","158.450","158.300","159.275","157.520","0.13%"
"Feb 25, 2021","158.250","159.275","159.375","158.015","-0.09%"
"Feb 24, 2021","158.400","158.910","159.450","158.475","-0.14%"
"Feb 23, 2021","158.620","159.075","159.250","157.880","-0.11%"
"Feb 22, 2021","158.800","159.000","159.250","158.755","0.03%"
"Feb 19, 2021","158.750","158.750","159.215","158.590","0.06%"
"Feb 18, 2021","158.650","160.050","160.075","158.490","-0.28%"
"Feb 17, 2021","159.100","160.075","160.140","158.920","-0.03%"
"Feb 16, 2021","159.150","159.300","160.240","158.850","0.14%"
"Feb 15, 2021","158.930","159.300","159.420","158.425","0.30%"
"Feb 12, 2021","158.450","159.430","159.430","158.435","-0.38%"
"Feb 11, 2021","159.060","159.450","159.500","158.760","-0.03%"
"Feb 10, 2021","159.100","159.950","160.325","159.075","-0.28%"
"Feb 09, 2021","159.550","160.125","160.575","159.050","0.19%"
"Feb 08, 2021","159.250","159.980","160.465","159.380","-0.16%"
"Feb 05, 2021","159.500","160.250","160.440","159.735","0.00%"
"Feb 04, 2021","159.500","160.450","160.515","159.515","-0.25%"
"Feb 03, 2021","159.900","160.400","160.565","159.740","0.06%"
"Feb 02, 2021","159.800","160.500","160.565","159.740","-0.12%"
"Feb 01, 2021","160.000","160.300","160.550","159.950","0.25%"
"Jan 29, 2021","159.600","160.450","160.690","159.640","-0.19%"
"Jan 28, 2021","159.900","160.550","160.640","159.920","-0.12%"
"Jan 27, 2021","160.100","160.800","160.860","159.995","-0.31%"
"Jan 26, 2021","160.600","160.850","160.910","160.440","-0.06%"
"Jan 25, 2021","160.700","160.675","160.915","160.130","0.22%"
"Jan 22, 2021","160.350","160.600","162.630","157.630","0.06%"
"Jan 21, 2021","160.250","160.550","160.790","160.000","0.09%"
"Jan 20, 2021","160.100","160.550","160.740","159.975","0.00%"
"Jan 19, 2021","160.100","160.625","160.880","159.840","-0.09%"
"Jan 18, 2021","160.250","160.550","160.725","160.050","0.09%"
"Jan 15, 2021","160.100","160.500","160.600","159.750","0.06%"
"Jan 14, 2021","160.000","160.500","160.820","159.705","0.00%"
"Jan 13, 2021","160.000","160.500","160.790","159.900","0.00%"
"Jan 12, 2021","160.000","160.500","160.750","159.915","0.00%"
"Jan 11, 2021","160.000","160.450","160.645","159.840","0.06%"
"Jan 08, 2021","159.900","160.375","160.545","159.715","0.09%"
"Jan 07, 2021","159.750","160.550","160.800","159.715","-0.22%"
"Jan 06, 2021","160.100","160.625","160.625","159.875","-0.09%"
"Jan 05, 2021","160.250","160.400","160.825","159.815","0.28%"
"Jan 04, 2021","159.800","160.375","160.645","159.600","0.03%"
"Jan 01, 2021","159.750","160.375","160.375","160.375","0.00%"
"Dec 31, 2020","159.750","160.500","164.125","159.250","-0.16%"
"Dec 30, 2020","160.000","160.500","160.615","159.865","0.00%"
"Dec 29, 2020","160.000","160.650","160.665","159.965","-0.19%"
"Dec 28, 2020","160.300","160.275","160.825","159.880","0.39%"
"Dec 24, 2020","159.680","160.650","160.675","159.835","-0.45%"
"Dec 23, 2020","160.400","160.670","160.985","159.930","0.06%"
"Dec 22, 2020","160.300","160.450","160.895","159.950","0.38%"
"Dec 21, 2020","159.700","160.100","160.830","159.950","0.00%"
"Dec 18, 2020","159.700","159.900","160.475","159.535","-0.19%"
"Dec 17, 2020","160.000","160.450","160.525","159.790","0.08%"
"Dec 16, 2020","159.880","160.250","160.740","159.955","-0.14%"
"Dec 15, 2020","160.100","160.125","160.780","159.830","0.06%"
"Dec 14, 2020","160.000","160.125","160.585","159.785","0.09%"
"Dec 11, 2020","159.850","160.305","160.575","159.655","-0.09%"
"Dec 10, 2020","160.000","160.340","160.635","159.840","-0.02%"
"Dec 09, 2020","160.030","160.400","160.695","159.880","-0.01%"
"Dec 08, 2020","160.040","160.275","160.695","159.805","0.02%"
"Dec 07, 2020","160.000","160.080","160.575","159.780","0.13%"
"Dec 04, 2020","159.800","160.100","160.525","159.500","0.01%"
"Dec 03, 2020","159.780","160.250","160.715","159.795","-0.14%"
"Dec 02, 2020","160.000","159.495","160.490","159.250","0.57%"
"Dec 01, 2020","159.090","159.500","162.730","159.050","0.18%"
"Nov 30, 2020","158.800","159.425","159.605","159.025","0.03%"
"Nov 28, 2020","158.750","159.240","159.240","159.240","-0.16%"
"Nov 27, 2020","159.000","159.175","159.525","158.750","0.00%"
"Nov 26, 2020","159.000","159.600","159.600","158.675","-0.06%"
"Nov 25, 2020","159.100","160.125","160.125","158.685","-0.75%"
"Nov 24, 2020","160.300","161.065","161.065","159.330","-0.25%"
"Nov 23, 2020","160.700","160.775","161.260","160.195","0.09%"
"Nov 20, 2020","160.550","160.625","161.000","160.095","0.31%"
"Nov 19, 2020","160.050","158.175","160.915","157.860","0.98%"
"Nov 18, 2020","158.500","158.150","160.155","157.910","0.38%"
"Nov 17, 2020","157.900","158.050","158.445","157.680","0.00%"
"Nov 16, 2020","157.900","158.080","158.325","157.840","-0.06%"
"Nov 13, 2020","158.000","158.300","158.525","157.825","0.40%"
"Nov 12, 2020","157.370","158.475","160.750","157.810","-0.01%"
"Nov 11, 2020","157.380","158.775","158.960","157.890","-0.71%"
"Nov 10, 2020","158.500","158.875","159.450","158.305","0.14%"
"Nov 09, 2020","158.280","159.175","159.230","158.455","-0.45%"
"Nov 07, 2020","159.000","159.175","159.175","159.175","0.19%"
"Nov 06, 2020","158.700","159.525","159.625","158.700","-0.25%"
"Nov 05, 2020","159.100","159.700","160.205","159.000","-0.01%"
"Nov 04, 2020","159.110","160.075","160.410","159.365","-0.46%"
"Nov 03, 2020","159.850","160.100","160.205","159.705","0.13%"
"Nov 02, 2020","159.650","160.275","160.435","159.700","-0.22%"
"Oct 30, 2020","160.000","160.410","160.660","160.120","-0.05%"
"Oct 29, 2020","160.080","160.625","160.740","160.000","-0.17%"
"Oct 28, 2020","160.350","160.800","160.900","160.180","-0.19%"
"Oct 27, 2020","160.650","161.550","161.550","160.530","0.02%"
"Oct 26, 2020","160.620","161.550","161.620","160.655","-0.33%"
"Oct 23, 2020","161.150","161.400","162.075","160.700","0.16%"
"Oct 22, 2020","160.890","162.225","162.410","161.370","-0.26%"
"Oct 21, 2020","161.310","162.100","162.480","161.410","0.11%"
"Oct 20, 2020","161.140","162.350","162.650","161.560","-0.68%"
"Oct 19, 2020","162.250","162.575","162.840","161.745","0.06%"
"Oct 16, 2020","162.150","162.550","163.000","162.055","-0.37%"
"Oct 15, 2020","162.750","163.800","163.800","162.035","0.15%"
"Oct 14, 2020","162.510","163.825","163.950","162.735","-0.23%"
"Oct 13, 2020","162.890","163.825","164.040","163.115","-0.53%"
"Oct 12, 2020","163.750","163.800","164.000","163.650","0.24%"
"Oct 09, 2020","163.350","163.625","164.070","163.395","-0.03%"
"Oct 08, 2020","163.400","164.025","164.075","163.325","-0.01%"
"Oct 07, 2020","163.420","164.020","164.675","163.590","-0.12%"
"Oct 06, 2020","163.610","164.525","165.050","163.785","-0.19%"
"Oct 05, 2020","163.920","164.725","165.750","163.685","0.03%"
"Oct 02, 2020","163.870","165.200","167.750","164.070","-0.27%"
"Oct 01, 2020","164.320","165.800","165.865","164.650","-0.65%"
"Sep 30, 2020","165.400","165.875","165.950","165.525","0.34%"
"Sep 29, 2020","164.840","165.950","166.210","165.230","-0.64%"
"Sep 28, 2020","165.900","166.300","166.425","165.305","0.72%"
"Sep 25, 2020","164.710","166.075","166.375","165.205","-0.60%"
"Sep 24, 2020","165.700","166.300","166.300","165.395","0.20%"
"Sep 23, 2020","165.370","166.200","166.460","165.630","-0.41%"
"Sep 22, 2020","166.050","166.125","166.525","165.630","0.54%"
"Sep 21, 2020","165.160","165.750","166.415","165.505","-0.08%"
"Sep 18, 2020","165.290","165.850","166.500","165.545","-0.43%"
"Sep 17, 2020","166.000","166.300","166.560","165.950","0.03%"
"Sep 16, 2020","165.950","166.300","166.830","165.870","0.34%"
"Sep 15, 2020","165.390","166.025","166.605","165.630","-0.16%"
"Sep 14, 2020","165.650","166.050","166.510","165.810","0.23%"
"Sep 11, 2020","165.270","166.250","166.670","165.585","-0.13%"
"Sep 10, 2020","165.490","166.400","166.730","165.855","-0.27%"
"Sep 09, 2020","165.930","166.250","166.715","166.035","-0.04%"
"Sep 08, 2020","166.000","165.650","166.475","165.255","0.24%"
"Sep 07, 2020","165.600","165.950","166.130","165.250","-0.06%"
"Sep 05, 2020","165.700","166.000","166.000","166.000","0.09%"
"Sep 04, 2020","165.550","165.500","166.165","165.055","0.09%"
"Sep 03, 2020","165.400","165.500","166.325","165.110","0.28%"
"Sep 02, 2020","164.940","165.550","165.800","165.220","-0.05%"
"Sep 01, 2020","165.020","165.575","165.925","165.220","0.26%"
"Aug 31, 2020","164.590","166.550","166.600","165.195","-1.13%"
"Aug 28, 2020","166.470","167.300","167.700","166.000","0.00%"
"Aug 27, 2020","166.470","168.500","168.500","166.825","-0.91%"
"Aug 26, 2020","168.000","168.500","168.800","167.800","0.00%"
"Aug 25, 2020","168.000","168.400","168.640","167.955","0.12%"
"Aug 24, 2020","167.800","168.400","168.655","167.880","0.00%"
"Aug 21, 2020","167.800","168.500","168.615","167.730","-0.12%"
"Aug 20, 2020","168.000","168.345","168.695","167.635","0.24%"
"Aug 19, 2020","167.600","168.250","168.590","167.750","-0.09%"
"Aug 18, 2020","167.750","168.500","168.590","167.375","-0.15%"
"Aug 17, 2020","168.000","168.125","168.570","167.375","0.45%"
"Aug 14, 2020","167.250","168.250","168.250","168.125","-0.15%"
"Aug 13, 2020","167.500","168.250","168.530","165.875","0.00%"
"Aug 12, 2020","167.500","168.450","168.590","167.585","-0.24%"
"Aug 11, 2020","167.900","168.500","168.755","167.500","-0.06%"
"Aug 10, 2020","168.000","168.400","168.770","165.875","0.12%"
"Aug 07, 2020","167.800","168.550","168.755","166.800","-0.18%"
"Aug 06, 2020","168.100","168.250","168.750","167.435","0.36%"
"Aug 05, 2020","167.500","167.500","168.615","167.250","0.12%"
"Aug 04, 2020","167.300","166.850","168.300","166.340","0.64%"
"Aug 03, 2020","166.230","166.900","167.735","165.875","-0.63%"
"Jul 31, 2020","167.280","167.330","167.640","167.000","0.12%"
"Jul 30, 2020","167.080","165.875","167.750","165.840","0.66%"
"Jul 29, 2020","165.990","166.765","167.160","165.875","-0.04%"
"Jul 28, 2020","166.050","166.850","167.235","165.950","-0.27%"
"Jul 27, 2020","166.500","167.100","167.700","166.250","-0.54%"
"Jul 25, 2020","167.400","167.700","167.700","167.700","0.25%"
"Jul 24, 2020","166.980","168.125","168.275","166.650","-0.16%"
"Jul 23, 2020","167.250","168.125","168.350","166.875","0.00%"
"Jul 22, 2020","167.250","168.125","168.750","166.875","0.00%"
"Jul 21, 2020","167.250","168.375","168.565","167.050","0.09%"
"Jul 20, 2020","167.100","167.400","168.730","166.700","0.24%"
"Jul 18, 2020","166.700","167.250","167.380","166.985","-0.06%"
"Jul 17, 2020","166.800","167.375","167.640","166.240","0.03%"
"Jul 16, 2020","166.750","167.125","167.505","166.125","0.30%"
"Jul 15, 2020","166.250","167.125","167.275","165.875","0.00%"
"Jul 14, 2020","166.250","167.050","167.770","165.875","0.09%"
"Jul 13, 2020","166.100","166.500","167.250","165.875","0.26%"
"Jul 10, 2020","165.670","166.550","166.960","165.750","-0.53%"
"Jul 09, 2020","166.550","167.150","167.350","165.750","0.15%"
"Jul 08, 2020","166.300","167.225","167.450","165.875","-0.09%"
"Jul 07, 2020","166.450","166.250","167.415","165.875","0.27%"
"Jul 06, 2020","166.000","167.600","167.600","165.875","-0.24%"
"Jul 03, 2020","166.400","166.900","167.600","166.150","-0.83%"
"Jul 02, 2020","167.800","168.050","168.275","166.175","0.36%"
"Jul 01, 2020","167.200","168.050","168.175","167.600","0.00%"
"Jun 30, 2020","167.200","168.050","168.475","167.600","0.00%"
"Jun 29, 2020","167.200","167.450","168.375","167.250","0.00%"
"Jun 26, 2020","167.200","166.750","168.075","166.750","0.30%"
"Jun 25, 2020","166.700","167.530","167.880","166.200","-0.54%"
"Jun 24, 2020","167.600","168.150","168.250","166.525","0.48%"
"Jun 23, 2020","166.800","166.400","168.275","166.400","0.26%"
"Jun 22, 2020","166.360","166.400","167.400","165.830","-0.14%"
"Jun 19, 2020","166.600","165.650","167.400","165.650","0.99%"
"Jun 18, 2020","164.970","165.680","166.125","164.875","-0.20%"
"Jun 17, 2020","165.300","165.325","165.850","163.775","0.39%"
"Jun 16, 2020","164.650","164.850","165.365","163.775","0.34%"
"Jun 15, 2020","164.100","164.300","165.300","163.625","-0.09%"
"Jun 12, 2020","164.250","164.450","165.250","163.750","0.09%"
"Jun 11, 2020","164.100","164.630","165.300","163.660","-0.08%"
"Jun 10, 2020","164.230","164.000","165.170","163.500","0.56%"
"Jun 09, 2020","163.320","163.300","164.500","162.875","0.57%"
"Jun 08, 2020","162.400","163.300","163.875","162.700","-0.40%"
"Jun 05, 2020","163.050","162.750","163.995","162.675","-0.06%"
"Jun 04, 2020","163.150","164.000","164.945","162.675","-0.64%"
"Jun 03, 2020","164.200","165.450","165.555","163.740","-0.51%"
"Jun 02, 2020","165.050","164.100","166.050","162.850","1.10%"
"Jun 01, 2020","163.250","163.100","164.150","162.375","0.77%"
"May 29, 2020","162.000","161.700","163.575","160.850","0.83%"
"May 28, 2020","160.660","161.200","161.960","160.450","0.26%"
"May 27, 2020","160.250","161.200","161.420","160.530","0.06%"
"May 26, 2020","160.160","161.200","161.465","160.855","-0.40%"
"May 25, 2020","160.800","161.200","161.200","161.200","0.34%"
"May 22, 2020","160.250","161.200","161.440","160.605","0.06%"
"May 21, 2020","160.150","160.700","161.490","159.550","0.09%"
"May 20, 2020","160.000","160.630","160.900","159.345","-0.03%"
"May 19, 2020","160.050","160.550","160.800","156.200","0.03%"
"May 18, 2020","160.000","160.050","160.950","158.990","0.76%"
"May 15, 2020","158.790","160.100","160.875","158.925","-0.48%"
"May 14, 2020","159.560","161.150","161.250","159.800","-0.36%"
"May 13, 2020","160.140","160.250","161.535","159.240","0.45%"
"May 12, 2020","159.430","159.950","160.760","159.175","-0.19%"
"May 11, 2020","159.730","159.700","160.585","158.670","0.74%"
"May 08, 2020","158.560","159.130","160.200","156.200","-0.93%"
"May 07, 2020","160.050","158.880","160.640","158.545","1.40%"
"May 06, 2020","157.840","159.500","160.075","158.420","-0.85%"
"May 05, 2020","159.200","160.250","160.250","158.490","0.09%"
"May 04, 2020","159.060","160.375","163.450","157.175","-0.59%"
"May 01, 2020","160.000","160.380","161.500","159.955","0.00%"
"Apr 30, 2020","160.000","161.450","161.525","159.925","-0.22%"
"Apr 29, 2020","160.360","161.130","161.900","160.175","-0.24%"
"Apr 28, 2020","160.750","160.850","161.830","159.925","0.36%"
"Apr 27, 2020","160.180","159.950","161.500","159.725","0.20%"
"Apr 24, 2020","159.860","159.950","161.500","159.470","0.40%"
"Apr 23, 2020","159.230","160.150","161.500","159.250","-0.32%"
"Apr 22, 2020","159.740","161.100","161.500","159.000","-0.23%"
"Apr 21, 2020","160.110","163.600","163.665","160.680","-1.77%"
"Apr 20, 2020","163.000","163.250","167.025","162.750","-1.37%"
"Apr 17, 2020","165.260","167.100","167.150","163.025","-0.63%"
"Apr 16, 2020","166.300","166.850","167.750","165.965","0.23%"
"Apr 15, 2020","165.920","166.850","167.360","166.390","-0.05%"
"Apr 14, 2020","166.000","166.650","167.800","165.965","0.37%"
"Apr 13, 2020","165.380","166.150","167.300","165.870","-0.40%"
